#TYPE Selected.Microsoft.ActiveDirectory.Management.ADComputer
"name","lastlogondate","operatingsystem"
"MILNCLPSPARE01","11/4/2014 11:54:43 AM","Windows 7 Professional"
"LNVICFRONT","11/10/2016 8:13:24 AM","Windows 7 Professional"
"WFINKEL","3/16/2015 10:30:35 AM","Windows XP Professional"
"JGREER-WIN7","11/29/2016 8:16:50 AM","Windows 10 Pro"
"OHIOPROGRAMMING","6/14/2016 3:38:55 PM","Windows XP Professional"
"JZAHORNACKY-PC","10/22/2012 2:37:40 PM","Windows 7 Professional"
"ASTEVENS","9/21/2015 8:03:07 AM","Windows 7 Professional"
"CLTLNC-ARCHIVE","8/9/2015 1:37:29 AM","Windows 7 Professional"
"BBOSMAN","11/16/2012 10:14:14 PM","Windows XP Professional"
"RMOSHER","12/27/2012 9:07:59 AM","Windows XP Professional"
"BTARIN","3/6/2013 11:08:49 AM","Windows XP Professional"
"JROHDE","5/7/2019 4:32:37 PM","Windows XP Professional"
"JROHDE-LAPTOP","1/9/2019 11:56:20 AM","Windows XP Professional"
"FIN01","12/8/2013 6:55:23 PM","Windows XP Professional"
"MOM-OHIO","2/10/2014 3:28:50 PM","Windows XP Professional"
"MOM-NC-VM","2/11/2014 6:49:25 PM","Windows XP Professional"
"MOM1","9/20/2013 9:14:20 AM","Windows XP Professional"
"WKUYDALAPTOP","5/1/2015 4:18:10 PM","Windows 7 Professional"
"TCONDEELIS-PC","11/26/2012 1:19:07 PM","Windows 7 Professional"
"BBOSMAN-PC","5/6/2014 1:59:09 PM","Windows XP Professional"
"ABRAGA-HP","2/28/2016 11:12:22 PM","Windows 7 Professional"
"ESXIHOST01","12/4/2015 5:05:47 PM","unknown"
"IT-TEMP","2/13/2014 8:10:56 AM","Windows XP Professional"
"HWKLGF1","9/27/2015 1:22:28 PM","Windows XP Professional"
"CLTLNAFRASER","12/1/2016 7:18:43 AM","Windows 10 Pro"
"DBRASSEUR-OHIO","5/10/2019 12:43:42 PM","Windows 10 Pro"
"CLTLNMREAGAN","3/16/2017 3:08:44 PM","Windows 10 Pro"
"RMOSHER-WIN7","5/26/2016 1:14:16 PM","Windows 7 Ultimate"
"LNSPARE01","3/4/2014 11:59:50 AM","Windows 7 Professional"
"OHIOSHIPPING1","8/29/2014 1:26:50 PM","Windows XP Professional"
"CLTLNCDT0002","12/16/2013 11:02:02 AM","Windows XP Professional"
"CLTLNCLAYOUT","1/28/2014 10:47:49 AM","Windows 7 Professional"
"LAYOUT-MI","9/15/2015 11:22:54 AM","Windows XP Professional"
"CLTLNCTBOCKLEY","5/13/2019 7:39:48 AM","Windows 7 Professional"
"KF-W7","1/9/2017 3:17:16 PM","Windows 7 Enterprise"
"CLTLNCAWILSON","3/17/2016 10:25:05 AM","Windows 7 Professional"
"CLTLNRBURCHFIEL","5/13/2019 8:08:01 AM","Windows 7 Professional"
"ADMINSTATION","5/6/2014 3:48:42 PM","Windows 7 Professional"
"CLTLNCCOWENS","5/6/2019 8:17:41 AM","Windows 10 Pro"
"CLTLNLROBERTS","5/31/2017 9:04:43 AM","Windows 7 Professional"
"CLTLNRMOSHER","7/29/2015 8:19:37 AM","Windows 7 Professional"
"CLTLNJROHDE-HP","7/13/2016 12:55:57 PM","Windows 7 Professional"
"CLTLNREP2","4/26/2018 9:46:38 AM","Windows 10 Pro"
"CLTLNBBOSMAN","10/29/2015 5:09:03 AM","Windows 7 Professional"
"LNLAPTOP","5/13/2014 11:10:43 AM","Windows 7 Professional"
"LNCATECH","12/10/2016 11:21:20 PM","Windows 7 Professional"
"CLTLNSPAREDESK-","7/28/2014 7:55:17 AM","Windows 7 Professional"
"CLTLNKBOLD","9/12/2014 8:13:08 AM","Windows 7 Professional"
"MILNSHIP","6/2/2016 3:37:43 PM","Windows 7 Professional"
"CLTLNRETURNS","11/10/2014 1:48:34 PM","Windows 7 Professional"
"CLTLNMGEAR","11/11/2015 1:33:24 PM","Windows 7 Professional"
"cltlnsgmac","3/5/2018 8:09:25 AM","Mac OS X"
"CLTLNDEVPC","6/6/2015 11:56:44 PM","Windows 7 Professional"
"CLTLNVLSHIP","5/9/2019 6:53:10 AM","Windows 7 Professional"
"CLTLNGM01","6/4/2017 3:29:02 PM","Windows 7 Professional"
"CLTLNCCC000P","7/30/2014 2:11:09 PM","Windows 7 Professional"
"CLTLNVICTECH","5/9/2019 10:59:06 AM","Windows 10 Pro"
"CLTLNKSIMCOX","8/23/2018 7:13:16 PM","Windows 10 Pro"
"LNC-HPADSF","9/10/2014 11:35:43 AM","Windows 7 Professional"
"CLTLNGSANDLER","8/4/2016 9:51:33 AM","Windows 7 Professional"
"LNC-ENT1","2/12/2015 12:09:27 PM","Windows 7 Enterprise"
"CLTLNCMDALE","11/15/2016 3:39:44 PM","Windows 10 Pro"
"CLTLNCLP0023","3/9/2015 7:01:16 AM","Windows 7 Professional"
"CLTLNCBJOHNSON","8/16/2015 12:34:01 PM","Windows 7 Professional"
"CLTLNCCCORRIHER","4/16/2015 12:40:52 PM","Windows 7 Professional"
"CLTLNCGADAMS","7/30/2015 8:32:22 AM","Windows 7 Professional"
"CLTLNCLHAIGLER","4/6/2015 12:46:46 PM","Windows 7 Professional"
"CLTLNCJMILLER","8/29/2018 7:09:43 AM","Windows 10 Pro"
"CLTLNCSMCDANIEL","2/20/2019 9:28:48 AM","Windows 10 Pro"
"CLTLNCTFIAWOO","9/29/2016 8:52:31 AM","Windows 8.1 Pro"
"CLTLNCTBUMGARNE","5/8/2019 12:36:52 AM","Windows 10 Pro"
"CLTLNCCCRUMLEY","10/15/2015 8:32:00 AM","Windows 7 Professional"
"CLTLNCRBECHARD","6/23/2016 8:27:39 AM","Windows 7 Professional"
"CLTLNCMBURRIS","1/9/2018 10:16:28 AM","Windows 10 Pro"
"CLTLNCMKIRCH","5/9/2019 8:54:18 AM","Windows 10 Pro"
"CLTLNCJBJ","5/13/2019 8:53:14 AM","Windows 10 Pro"
"CLTLNCSPAREEX","5/13/2019 2:03:00 PM","Windows 10 Pro"
"CLTLNCMFANNIN","1/5/2015 8:24:58 AM","Windows 7 Professional"
"CLTLNCLMORRIS","11/30/2017 11:00:43 AM","Windows 10 Pro"
"CLTLNCDPHILLIPS","5/7/2019 9:37:51 AM","Windows 10 Pro"
"CLTLNCJHATLEY7","5/3/2019 11:09:15 AM","Windows 10 Pro"
"CLTLNCLSHOE","7/8/2018 8:36:08 AM","Windows 10 Pro"
"CLTLNCSHILLA","9/19/2016 6:09:23 AM","Windows 7 Professional"
"CLTLNCSHIP03","5/13/2019 9:07:11 AM","Windows 7 Professional"
"CLTLNCSHIP04","12/10/2015 8:13:04 AM","Windows 7 Professional"
"CLTLNCSYANG","1/5/2018 8:43:52 AM","Windows 10 Pro"
"CLTLNCWHPICKLNE","5/3/2018 11:09:41 AM","Windows 7 Professional"
"CLTLNSBENNICK","9/19/2018 3:25:05 PM","Windows 10 Pro"
"CLTLNCGTRENCK","10/26/2015 10:08:22 AM","Windows 7 Professional"
"CLTLNJNELSON","12/21/2018 1:53:37 PM","Windows 7 Professional"
"CLTLNCJS","1/9/2015 8:32:00 AM","Windows 7 Professional"
"CLTLNMTURNER","6/6/2018 10:46:32 AM","Windows 10 Pro"
"CLTLNCCDANA","7/6/2016 4:28:19 PM","Windows 7 Professional"
"CLTLNJHOUK","12/6/2018 8:48:59 AM","Windows 7 Professional"
"aris-macbook","11/12/2018 9:05:10 AM","Mac OS X"
