#TYPE Microsoft.ActiveDirectory.Management.ADAccount
"AccountExpirationDate","DistinguishedName","Enabled","LastLogonDate","LockedOut","Name","ObjectClass","ObjectGUID","PasswordExpired","PasswordNeverExpires","SamAccountName","SID","UserPrincipalName"
,"CN=LNNCDCAREA51,OU=PROD,OU=NC,OU=Servers,OU=corporate,DC=lionel,DC=com","True","5/30/2017 10:54:32 AM","False","LNNCDCAREA51","computer","43d300b4-58b9-4567-9fa3-a51b74cedf7d","False","False","LNNCDCAREA51$","S-1-5-21-689311476-2703878803-1764524066-3202",
,"CN=CA-DC,OU=Domain Controllers,DC=lionel,DC=com","True","8/21/2018 6:15:06 AM","False","CA-DC","computer","29c1e7dc-3790-4ce4-9dcf-eebb18fb0007","False","False","CA-DC$","S-1-5-21-689311476-2703878803-1764524066-2215",
,"CN=JZAHORNACKY-PC,OU=CA,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","10/22/2012 2:37:40 PM","False","JZAHORNACKY-PC","computer","35d104ef-8d24-4ef0-8090-c7bdc8c4c7f8","False","False","JZAHORNACKY-PC$","S-1-5-21-689311476-2703878803-1764524066-3147",
,"CN=BBOSMAN,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","11/16/2012 10:14:14 PM","False","BBOSMAN","computer","953f2c12-9607-4784-99a1-c9d69de47c5d","False","False","BBOSMAN$","S-1-5-21-689311476-2703878803-1764524066-2728",
,"CN=TCONDEELIS-PC,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","11/26/2012 1:19:07 PM","False","TCONDEELIS-PC","computer","28253677-e73a-4abe-9d12-111a4372fbae","False","False","TCONDEELIS-PC$","S-1-5-21-689311476-2703878803-1764524066-2743",
,"CN=RMOSHER,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","12/27/2012 9:07:59 AM","False","RMOSHER","computer","20635b16-b936-45eb-83c8-a118ef94692e","False","False","RMOSHER$","S-1-5-21-689311476-2703878803-1764524066-1790",
,"CN=BTARIN,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","3/6/2013 11:08:49 AM","False","BTARIN","computer","f19fad2e-3f66-4fa6-a751-adaf68cf542c","False","False","BTARIN$","S-1-5-21-689311476-2703878803-1764524066-2731",
,"CN=WFINKEL,OU=NY,OU=Laptops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","3/16/2015 10:30:35 AM","False","WFINKEL","computer","ee1a5e3e-6f89-478c-a797-407181baecbc","False","False","WFINKEL$","S-1-5-21-689311476-2703878803-1764524066-2716",
,"CN=MOM1,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","9/20/2013 9:14:20 AM","False","MOM1","computer","5c9e449b-a382-4e7c-b43f-8a686d3b2320","False","False","MOM1$","S-1-5-21-689311476-2703878803-1764524066-1796",
,"CN=FIN01,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","12/8/2013 6:55:23 PM","False","FIN01","computer","ae53fcd0-7022-485e-9ad4-b7f9b2b55814","False","False","FIN01$","S-1-5-21-689311476-2703878803-1764524066-1794",
,"CN=CLTLNCDT0002,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","12/16/2013 11:02:02 AM","False","CLTLNCDT0002","computer","0a632461-a492-4f3d-9153-d40e50dc36d7","False","False","CLTLNCDT0002$","S-1-5-21-689311476-2703878803-1764524066-3686",
,"CN=MOM-OHIO,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","2/10/2014 3:28:50 PM","False","MOM-OHIO","computer","91ae5cad-fa34-4faa-81f0-f9b207e94bde","False","False","MOM-OHIO$","S-1-5-21-689311476-2703878803-1764524066-2735",
,"CN=MOM-NC-VM,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","2/11/2014 6:49:25 PM","False","MOM-NC-VM","computer","63e1c848-614d-4411-b474-0a878b54c3e4","False","False","MOM-NC-VM$","S-1-5-21-689311476-2703878803-1764524066-1795",
,"CN=IT-TEMP,OU=MI,OU=Desktops,OU=Computers,OU=corporate,DC=lionel,DC=com","True","2/13/2014 8:10:56 AM","False","IT-TEMP","computer","aae9bbb6-a9c1-4015-aa4b-3d891c4b8702","False","False","IT-TEMP$","S-1-5-21-689311476-2703878803-1764524066-3649",
